cart_id,item_id,time,quantity
1,25,2021-02-04 11:43:11,3
1,46,2021-02-07 12:38:16,4
1,37,2021-02-08 19:11:14,2
1,13,2021-02-03 23:07:28,2
1,3,2021-02-01 06:02:21,3
1,47,2021-02-01 15:48:03,2
1,36,2021-02-07 17:28:31,2
1,4,2021-02-07 21:41:15,1
2,3,2021-02-09 06:12:31,4
3,3,2021-02-07 01:04:59,4
3,47,2021-02-03 00:20:36,4
3,41,2021-02-09 06:11:36,4
3,35,2021-02-07 17:58:45,5
3,45,2021-02-03 19:50:54,4
3,25,2021-02-03 08:48:12,3
3,32,2021-02-09 12:03:04,4
3,21,2021-02-01 11:26:00,3
3,2,2021-02-09 12:05:58,2
4,10,2021-02-08 09:24:10,5
4,19,2021-02-04 05:54:06,5
4,7,2021-02-02 12:34:44,1
4,30,2021-02-05 23:10:46,5
4,21,2021-02-05 06:22:24,3
5,12,2021-02-05 08:09:09,5
5,29,2021-02-01 13:51:21,2
5,39,2021-02-02 09:36:22,2
5,50,2021-02-03 03:09:36,1
5,11,2021-02-04 09:52:57,4
5,6,2021-02-05 20:31:47,3
5,20,2021-02-01 12:21:37,1
6,11,2021-02-05 11:43:19,4
6,43,2021-02-01 12:01:36,4
7,21,2021-02-08 14:59:45,4
7,22,2021-02-04 07:15:07,3
7,6,2021-02-09 11:51:26,1
7,39,2021-02-01 06:45:54,2
7,31,2021-02-06 07:30:08,1
8,8,2021-02-07 00:43:14,1
9,32,2021-02-04 11:10:44,3
9,11,2021-02-08 00:31:05,3
9,38,2021-02-03 08:34:30,1
9,28,2021-02-09 16:04:55,5
9,19,2021-02-03 01:09:21,2
9,10,2021-02-01 04:16:35,1
10,3,2021-02-05 05:44:01,3
10,44,2021-02-08 06:32:17,2
10,8,2021-02-05 07:59:15,4
10,16,2021-02-06 04:10:23,2
10,37,2021-02-02 20:31:20,4
10,22,2021-02-04 08:30:24,5
10,13,2021-02-07 15:45:50,5
11,22,2021-02-05 06:07:41,1
11,33,2021-02-06 15:21:16,4
11,5,2021-02-01 09:16:23,2
12,31,2021-02-08 17:34:14,2
12,29,2021-02-06 10:44:44,2
12,23,2021-02-03 03:11:31,1
12,13,2021-02-05 12:50:13,3
12,28,2021-02-04 01:08:01,4
12,40,2021-02-04 22:36:57,1
12,6,2021-02-07 09:58:46,5
12,9,2021-02-01 17:17:21,3
12,44,2021-02-06 14:17:42,3
12,17,2021-02-02 00:32:32,4
13,19,2021-02-07 09:03:33,3
13,23,2021-02-01 07:07:31,1
13,21,2021-02-02 02:58:20,3
13,18,2021-02-03 02:59:00,3
13,10,2021-02-07 14:44:16,2
13,11,2021-02-02 21:05:01,2
14,31,2021-02-08 20:28:07,4
14,46,2021-02-05 12:42:58,2
14,24,2021-02-08 22:58:15,4
15,45,2021-02-06 00:53:05,2
15,12,2021-02-09 13:43:01,5
15,23,2021-02-04 18:01:18,1
15,9,2021-02-01 00:25:45,4
15,42,2021-02-03 22:54:34,2
15,46,2021-02-03 15:15:28,3
15,15,2021-02-09 08:58:12,5
16,7,2021-02-03 00:53:11,3
16,15,2021-02-05 17:54:41,4
16,41,2021-02-04 16:57:58,1
16,25,2021-02-03 12:10:40,2
16,22,2021-02-02 22:33:00,4
16,42,2021-02-08 11:26:07,2
16,35,2021-02-05 06:13:55,5
17,4,2021-02-03 17:13:55,1
18,1,2021-02-06 18:21:51,2
18,41,2021-02-08 00:50:05,2
18,40,2021-02-06 20:41:37,2
18,31,2021-02-01 16:25:07,5
18,6,2021-02-04 21:24:12,5
18,19,2021-02-05 10:18:24,5
18,47,2021-02-08 07:27:22,3
19,2,2021-02-04 21:27:16,5
19,44,2021-02-05 03:22:20,2
19,5,2021-02-07 17:14:11,2
19,39,2021-02-09 14:45:04,5
19,7,2021-02-05 22:06:21,1
19,38,2021-02-01 20:04:41,5
19,48,2021-02-05 23:10:08,5
19,33,2021-02-02 14:04:35,2
19,4,2021-02-08 09:10:07,5
20,47,2021-02-06 22:10:27,5
20,48,2021-02-08 14:46:17,1
21,43,2021-02-07 15:17:15,3
